feature,consensus_count
ratio_sttl_dttl,6
log_ct_state_ttl,6
state,6
log_dload,6
both_zero_sloss_dloss,6
id,6
log_sum_sttl_dttl,6
log_ct_dst_sport_ltm,6
log_diff_sload_dload,6
one_zero_sttl_dttl,5
one_zero_sinpkt_dinpkt,5
one_zero_sbytes_dbytes,5
log_ct_src_dport_ltm,5
is_integer_ratio_sinpkt_dinpkt,5
is_integer_ratio_sload_dload,5
both_zero_sjit_djit,5
log_dbytes,5
is_integer_ratio_ct_srv_src_ct_srv_dst,5
one_zero_smean_dmean,5
both_zero_swin_dwin,5
is_integer_ratio_smean_dmean,5
one_zero_spkts_dpkts,5
log_sttl,5
is_integer_ratio_sttl_dttl,5
is_integer_ratio_sbytes_dbytes,5
log_sbytes,4
log_ct_srv_src,4
rate,4
dinpkt,4
ratio_sload_dload,4
log_diff_sjit_djit,4
ratio_ct_src_dport_ltm_ct_dst_sport_ltm,4
ratio_ct_srv_src_ct_srv_dst,4
dmean,4
log_ct_dst_ltm,4
log_dloss,4
log_dur,4
sum_ct_src_dport_ltm_ct_dst_sport_ltm,4
swin,4
ratio_sloss_dloss,4
tcprtt,4
diff_smean_dmean,4
log_sloss,4
log_ct_dst_src_ltm,4
service,4
ratio_sbytes_dbytes,4
ackdat,4
log_dpkts,4
log_diff_sttl_dttl,4
sum_ct_src_ltm_ct_dst_ltm,4
ratio_smean_dmean,4
log_djit,4
log_sum_spkts_dpkts,4
sum_ct_srv_src_ct_srv_dst,4
log_ct_srv_dst,4
log_diff_spkts_dpkts,4
